Visitor arrivals by country of residence and closest overseas port (Monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ALL COUNTRIES OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Adelaide,Apia,Beijing,Bangkok,Brisbane,Bandar Seri Begawan,Guangzhou,Cairns,Denpasar,Buenos Aires,Hong Kong,Honolulu,Niue,Osaka,Kuala Lumpur,Los Angeles,Melbourne,Nadi,Nagoya,Norfolk Island,Noumea,Tokyo,Coolangatta,Perth,Papeete,Rarotonga,Santiago,Seoul,San Francisco,Shanghai,Singapore,Suva,Sydney,Tonga,Taipei,Port Vila,Vancouver,TOTAL ALL CLOSEST OVERSEAS PORTS
2000M01,0,1326,0,0,16286,0,0,357,0,1581,5253,1989,34,3468,3366,19312,17408,8568,34,204,2040,5304,153,1479,1071,1462,0,5338,0,0,12852,442,51493,1394,2193,170,0,167093
2000M02,0,1770,0,0,17910,0,0,690,0,1290,7635,1890,0,3510,3900,25365,19545,10305,0,15,960,6615,240,1785,1710,1905,0,4740,0,0,16020,630,55170,1380,4035,210,0,192765
2000M03,0,1245,0,30,15435,0,0,525,0,720,5280,1215,0,2235,3435,16905,19560,7080,0,90,480,5265,315,1545,1080,1215,0,4995,0,0,12510,405,47520,1245,2040,165,0,152850
2000M04,0,1485,0,0,13935,0,0,375,105,840,5775,675,0,2205,2970,15330,17775,5535,0,105,525,4440,450,1335,1020,1635,0,3705,0,0,12705,390,47700,1065,1515,165,0,143985
2000M05,0,1056,0,407,10384,0,0,528,88,418,3784,363,0,1595,2090,8459,12144,4664,0,110,671,3663,231,1155,770,891,0,2728,0,0,7942,143,31878,1188,1320,132,0,99022
2000M06,0,1224,0,0,9828,0,0,492,96,312,3288,516,0,1488,1764,9912,12072,3156,0,72,492,3156,228,1128,1128,984,0,2976,0,0,7992,0,32340,1128,1308,84,0,97464
2000M07,0,1500,0,0,12840,0,0,270,150,915,5385,615,0,2760,2910,13665,13305,4290,150,120,660,5250,165,1245,1380,1170,0,4740,0,0,9420,0,44205,1380,1890,165,0,130890
2000M08,0,1260,0,0,13272,0,0,350,112,490,3458,490,0,2716,2212,10206,13370,3234,532,112,728,5684,294,1372,1036,1176,0,2996,0,0,9030,0,40040,1372,1540,182,0,117432
2000M09,0,1365,0,0,13125,0,0,285,195,510,3765,435,0,2235,2715,8595,13680,3795,315,75,750,3495,360,1575,1215,1035,0,2100,0,0,8850,0,39540,1650,1560,135,0,113715
2000M10,0,1584,0,0,13216,0,0,496,240,656,5440,688,48,2736,3776,15616,17680,5584,400,112,832,4672,304,1376,1952,1712,0,2352,0,0,12192,48,48080,1376,1584,176,0,146560
2000M11,0,1744,0,0,17664,0,0,352,384,928,6576,1392,96,4512,5872,18016,20512,7056,1456,80,896,6544,240,1568,1744,2368,0,3952,0,0,14864,0,53936,1056,2096,272,0,182144
2000M12,0,4335,0,0,25177,0,0,646,884,1071,9112,2227,204,5202,6001,28101,29427,9877,2176,170,1088,5678,782,2023,3281,2890,0,4505,0,0,18360,0,73253,2329,2244,221,0,242845
2001M01,0,1440,0,0,19160,0,0,380,620,1500,6860,1740,140,4840,5460,22880,23560,9040,2780,180,1960,6320,220,1240,2380,1980,0,4700,0,0,13640,0,58000,1720,3420,300,0,197660
2001M02,0,1224,0,0,19805,0,0,510,493,1105,5831,1955,102,4964,5134,25636,23443,8075,1802,153,782,5525,306,1921,1955,2091,0,3502,0,0,13498,0,59381,1462,1972,221,0,199801
2001M03,0,1173,0,0,18411,0,0,493,204,884,5984,1343,68,4182,4131,19210,23443,5661,2006,102,493,5814,425,1870,1683,1870,0,3009,0,0,12767,0,57324,1394,1632,221,0,176936
2001M04,0,1258,0,0,16592,0,0,459,238,799,5304,408,0,4097,3536,12019,21573,4165,1785,51,646,5236,527,1479,1394,1428,0,2397,0,0,11560,170,52768,1105,1734,153,0,153204
2001M05,0,1638,0,0,12350,0,0,273,65,559,2990,520,0,2938,2093,8203,15964,3809,1430,78,494,4784,247,1222,1235,858,0,2002,0,0,8099,143,36036,1079,1079,208,0,110942
2001M06,0,1248,0,0,14430,0,0,221,143,533,3614,728,0,3094,1742,9997,15717,4017,1131,78,520,3159,286,1170,1573,1170,0,2106,0,0,7007,91,35243,1183,1547,104,0,112229
2001M07,0,1479,0,0,14042,0,0,153,204,952,5372,850,0,4318,2805,11645,17051,5848,1921,68,561,4964,323,1224,2890,1190,0,4012,0,0,9282,187,49300,1139,2142,153,0,144364
2001M08,0,1470,0,0,15435,0,0,180,90,510,4575,630,0,3810,2220,10575,18690,3810,2310,120,720,5400,270,1320,1200,1200,0,3300,0,0,9075,195,46275,1440,1680,135,0,136815
2001M09,0,1365,0,0,16785,0,0,60,180,735,4545,555,0,2985,2790,7605,19305,3735,1695,90,1065,4005,450,1455,1590,1275,0,2310,0,0,9030,120,44265,1110,1560,210,0,131175
2001M10,17,1275,0,0,12903,0,0,136,306,765,5899,714,85,2686,3502,14569,18241,5134,901,102,629,3723,374,1275,2006,1309,0,3179,0,0,11356,170,46631,1326,2312,136,0,141967
2001M11,0,1230,0,0,13455,0,0,480,420,990,6270,1110,0,3840,5010,16575,19575,5700,1485,75,735,4050,765,1425,2040,1845,0,4680,0,0,14490,180,53460,1695,1995,255,0,164520
2001M12,0,2941,0,0,21488,0,0,629,952,1258,9367,1887,0,5270,6817,26979,31161,7055,1598,306,1275,5542,2040,2737,3825,2703,0,9265,0,0,19414,391,66283,2380,2635,374,0,239768
2002M01,0,1491,0,0,13503,0,0,420,609,1407,6678,2016,21,5313,3990,25536,22890,6972,2751,147,2037,5754,1344,1701,3066,2226,0,8190,0,0,14007,231,59955,1197,2709,210,0,204645
2002M02,0,1445,0,0,17408,0,0,646,459,1020,8585,1887,0,5797,1921,28033,24412,6341,2992,85,884,5933,1343,1921,3060,2074,0,8500,0,0,14688,340,60996,1139,3774,255,0,212041
2002M03,0,1098,0,0,17496,0,0,432,396,1368,7596,1422,0,5652,2826,25200,25110,6156,2592,162,774,6174,2106,2088,2826,1692,0,4302,306,0,15102,216,63144,1800,2412,126,0,203868
2002M04,0,1020,0,0,11798,0,0,374,0,1003,5355,527,0,4420,1870,11084,18411,3893,1938,102,527,5593,1020,1649,1428,1394,0,4352,0,0,11118,323,49691,1343,2397,187,0,143718
2002M05,0,966,0,0,11662,0,0,476,0,532,5348,434,0,4802,2576,9268,15022,3416,1652,56,714,3416,966,1176,1428,1134,0,3066,0,0,8470,238,36456,1414,1554,196,0,118244
2002M06,0,871,0,0,13299,0,0,299,0,715,4706,598,0,2938,1833,12311,14404,3354,962,143,364,2717,819,1170,1430,910,0,2990,0,0,8788,208,35386,949,1794,182,0,115076
2002M07,0,986,0,0,14586,0,0,289,0,204,6902,612,0,5389,0,13668,18258,4658,1870,136,765,5219,918,2057,2601,1173,782,5950,0,0,10591,102,49589,1479,2771,170,0,152388
2002M08,0,848,0,0,14416,0,0,416,0,192,5312,592,0,4448,0,10896,16560,4320,2208,64,1216,4784,944,1296,1168,1056,432,4672,0,0,10256,240,42448,1312,2304,240,0,133104
2002M09,0,1125,0,0,16050,0,0,300,0,255,5445,690,0,4140,0,10800,18645,4215,1620,75,870,4650,1305,1635,1290,1275,600,3420,0,0,10815,345,42375,1365,2085,165,0,135930
2002M10,18,990,0,0,15552,0,0,396,0,180,6660,792,126,5166,180,18180,18774,5004,1998,90,792,6390,1080,1584,2088,1764,738,3888,0,0,13284,288,50634,1584,1908,216,0,162252
2002M11,0,1080,0,0,17874,0,0,648,0,324,8820,1026,234,6156,2484,21744,20682,5508,2196,162,828,6300,1206,1602,2088,1998,738,6930,0,0,16830,468,61416,1746,2358,180,0,198198
2002M12,0,2340,0,0,28420,0,0,820,0,480,11720,1400,280,6560,2140,32360,28820,6400,2860,160,1440,7140,2640,2920,3860,2660,760,10720,0,0,21240,440,76940,2800,3820,300,0,265600
2003M01,0,1219,0,0,18814,0,0,598,0,437,6946,1403,138,6325,2185,29417,21206,6739,3151,69,2001,5750,1495,1610,2829,2208,759,12351,0,0,15410,138,67068,1748,3335,161,0,220777
2003M02,0,1152,0,0,21960,0,0,1044,0,378,6786,1854,144,5976,1782,28854,23580,6318,2538,108,828,5076,1962,2376,2358,2448,414,7560,0,0,15804,378,71352,1656,2196,180,0,222102
2003M03,0,1121,0,0,19988,0,0,741,0,437,7201,1197,152,5586,1938,21470,21451,5662,2755,95,722,4484,1729,1843,2508,1672,741,5434,0,0,14402,456,62092,1615,1653,171,0,193743
2003M04,0,880,0,0,17200,0,0,864,0,336,3456,608,128,4432,1888,12560,20128,3824,1648,80,864,4288,1744,1968,1200,1888,704,4192,0,0,9312,416,51808,1648,1120,256,0,150272
2003M05,0,897,0,0,12194,0,0,845,0,338,1768,585,143,2561,1664,9867,14079,2964,676,65,936,2769,1014,1508,962,1482,611,2561,0,0,4693,351,34736,1300,650,221,0,102752
2003M06,0,1078,0,0,14399,0,0,528,0,198,3190,825,88,2101,1155,12430,14509,2981,0,121,396,2288,1100,1474,1342,1287,484,3861,0,0,7194,341,35992,1045,902,143,0,111716
2003M07,0,792,36,0,14508,0,0,666,0,468,6264,864,126,4626,2178,13572,15228,3384,1116,90,792,3762,1530,1674,1710,1404,648,7380,0,0,9846,270,49266,1566,1422,180,0,145566
2003M08,0,1020,0,0,13634,0,0,544,0,374,5831,578,102,4250,2380,9911,17255,2788,1598,51,1020,4029,1479,1139,1343,1564,612,4794,0,0,8585,357,46750,1632,1054,187,0,135150
2003M09,0,1200,0,0,17296,0,0,432,0,320,5104,704,192,3904,2624,10336,20960,2752,1360,112,1008,4368,1600,2160,1024,1392,640,5232,0,0,9968,336,50000,1648,992,144,0,148128
2003M10,0,1216,0,0,16758,0,0,532,0,323,6631,855,190,4313,4294,17100,18677,3762,1843,38,798,4085,1311,1520,2356,1843,475,6954,0,0,12654,247,52421,1520,1539,152,0,165604
2003M11,247,1254,0,0,20463,0,0,627,0,570,8170,1026,399,5358,5225,22135,22135,4541,1824,114,893,5662,1634,2033,2185,2128,608,11400,0,0,19532,399,63783,1577,1786,171,0,211698
2003M12,0,3454,0,0,38522,0,0,990,0,660,12408,1254,704,6050,5368,30030,32692,5676,2002,132,1386,6270,2552,3014,4444,2508,858,14718,0,1122,24222,550,84832,2310,2068,264,0,296912
2004M01,0,1475,0,0,28550,0,0,750,0,650,9625,1900,350,6600,4450,26875,24400,5225,1600,75,2375,5375,1325,2225,2875,2425,650,14700,0,675,17600,225,72500,1525,3150,175,0,243975
2004M02,0,1113,0,0,32907,0,0,798,0,525,7287,1218,273,5250,4221,27426,25095,5250,1764,168,924,5103,1806,2478,3255,2604,777,12348,0,0,18585,294,70224,1113,1911,189,0,237783
2004M03,0,1134,0,0,24675,0,0,840,0,504,8799,987,168,5271,3423,21882,27573,3633,2079,63,693,5691,1785,2079,2079,1806,819,8274,0,0,15813,378,67683,1365,1260,189,0,211743
2004M04,0,1722,0,0,23331,0,0,819,0,441,6741,609,252,4326,3927,14217,26439,3171,2016,126,840,4137,1449,1869,1617,1806,798,6363,0,0,12369,315,61992,1302,1029,105,0,184548
2004M05,0,1188,0,0,15102,0,0,702,0,306,4266,486,234,4644,2700,10170,18414,3042,1692,72,864,4230,1044,1404,1026,1116,648,5472,0,0,8190,342,42858,1044,1026,144,0,132750
2004M06,0,1088,0,0,18416,0,0,576,0,288,3904,736,256,3488,1968,12240,17424,3024,816,64,560,2912,1104,1440,1376,1168,560,5760,0,0,9200,336,42608,1056,1456,128,0,134272
2004M07,0,1000,0,0,20340,0,0,540,0,360,7440,700,320,4120,3000,11720,21100,3720,1320,200,1080,4060,900,1940,2280,1340,720,8320,1540,0,11300,220,57700,1500,1700,100,0,171620
2004M08,0,990,0,0,19140,0,0,484,0,308,5390,462,264,4092,2244,9834,20944,3146,2002,66,858,5346,1166,1716,1144,1408,484,6534,1254,0,8558,330,48400,1232,1474,264,0,150238
2004M09,0,940,0,0,22940,0,0,340,0,360,5600,460,160,3600,2460,9400,24080,2900,1440,240,1060,4240,1280,1520,1160,1400,580,6680,1220,0,9220,300,52720,1620,1400,200,0,159660
2004M10,21,1239,0,0,20517,0,0,546,0,399,8064,798,231,3696,4032,14469,21987,3864,1722,168,987,4788,1218,1995,2415,1932,777,8505,1701,0,13566,315,55818,1491,1470,189,0,179256
2004M11,0,1407,0,0,23520,0,0,462,0,315,9597,714,294,4809,7140,20118,24990,4494,1995,84,840,5733,1386,2310,1785,2373,357,11277,2751,0,19152,399,61404,1680,1575,168,0,218883
2004M12,1000,2425,0,0,40075,0,0,1150,0,650,14275,825,475,5350,8300,25350,40550,6425,1600,175,1800,5475,3350,4425,4750,2775,975,13625,2650,0,23850,525,88200,2775,2000,250,0,309425
2005M01,899,1131,0,0,25694,0,0,841,0,725,9715,870,87,5829,6786,22504,30073,5626,2175,174,2291,5800,1711,2610,3683,2146,754,13601,2262,0,17864,232,72790,1363,2175,203,0,246674
2005M02,836,924,0,0,29458,0,0,924,0,616,11374,1100,154,4642,6512,24222,30030,4972,1760,154,1166,5060,2398,2706,2332,2354,528,11132,2618,0,19294,242,71698,1452,2442,220,0,247390
2005M03,925,1225,0,25,29125,0,0,800,0,675,8600,825,100,5000,5850,21075,31850,4800,1850,225,800,4700,2500,3300,3075,2400,950,6675,2025,0,17650,450,70475,1600,1550,100,0,232675
2005M04,888,1392,0,0,20304,0,0,840,0,384,7200,648,168,3528,3048,10608,25968,3936,1656,120,936,5136,1632,2304,1704,1728,984,4176,1056,0,11784,456,56928,1728,1440,144,0,173280
2005M05,494,1121,0,0,16663,0,0,646,0,266,4617,608,171,3287,2850,9291,18354,3344,1938,76,969,4199,1463,1824,1501,1463,627,3705,1083,0,8664,266,42066,1311,1102,152,0,134235
2005M06,285,1064,0,0,22382,0,0,570,0,266,5301,570,114,3021,2812,13623,20881,4047,1995,133,608,4123,1805,2033,1501,1786,798,3572,1083,0,11039,304,46417,1387,1064,133,0,156161
2005M07,432,1008,0,504,19416,0,0,624,0,408,7512,384,120,2928,2640,11328,21024,4416,1344,72,1128,4896,2160,2160,2040,1752,936,5688,1368,0,10200,240,56520,1464,1776,120,0,166968
2005M08,420,1113,0,399,21042,0,0,399,0,378,4893,420,210,3444,3276,8904,20685,3444,1701,105,777,4956,1932,1890,861,1596,777,5292,1176,0,9492,294,46872,1470,1281,168,0,150003
2005M09,682,1232,0,594,25960,0,0,594,0,308,4862,484,88,2618,3146,8712,23056,3432,1386,88,1166,4180,2816,2178,1166,1452,704,4576,1254,0,8140,352,53856,1452,1562,154,0,162756
2005M10,644,943,0,851,21206,0,0,506,0,529,6555,598,184,3082,4232,14053,22149,4071,1426,92,828,4876,1702,2001,2047,2070,805,6256,1518,0,13662,138,53544,1725,1909,161,0,175605
2005M11,575,1932,0,805,25645,0,0,736,0,391,10810,1150,207,2944,6233,16514,25254,4600,1357,161,851,6256,1794,2231,2047,2162,1058,7843,2208,0,17549,322,61640,1426,1794,138,0,214107
2005M12,1050,3725,0,2700,42300,0,0,1150,0,1275,14375,925,175,3425,8250,24150,38275,6300,1625,100,1650,6400,5275,4525,3350,2925,1550,11200,4125,0,24500,600,81875,1950,2100,225,0,305675
2006M01,988,1040,0,2340,28340,0,0,858,0,572,10842,910,26,5018,6136,20384,30108,5486,2418,78,1976,6292,2522,2444,2522,2132,988,9672,2964,0,18746,416,72904,1300,3302,130,0,248560
2006M02,858,1606,0,2376,29414,0,0,1078,0,902,8118,1232,154,4422,5170,25234,31834,5302,2068,242,1276,5544,2640,3190,2750,2486,836,8096,4884,0,18986,330,71566,1122,2112,154,0,251174
2006M03,989,1610,0,2254,27393,0,0,874,0,989,8533,1380,115,3933,4094,18699,30521,4393,1817,138,966,4853,2530,3496,2760,2576,1058,5888,3381,0,17089,483,63319,1311,1610,207,0,223767
2006M04,1078,1980,0,2552,26268,0,0,770,0,396,5544,572,198,3388,2970,13266,27742,4884,0,220,814,4422,2178,2904,1848,1738,858,4994,2156,0,13552,440,59664,1342,1474,154,0,190498
2006M05,867,2006,0,1173,19346,0,0,714,0,391,3944,340,34,3298,2023,8330,20162,3553,0,51,1071,3723,1445,1751,1428,1615,969,3587,1020,0,9316,374,39763,1258,918,272,0,134980
2006M06,702,1620,0,1116,21780,0,0,522,0,324,3816,990,126,3060,1602,10476,19548,3870,0,90,540,4104,1296,1620,1260,1692,864,3942,1710,0,9738,288,39402,1080,1206,108,0,139266
2006M07,768,1536,0,1776,22560,0,0,672,0,432,6264,600,192,4008,2568,12264,20016,4440,0,96,768,5544,1608,2688,1728,1920,912,5472,2328,0,12168,192,49200,1560,1536,144,0,166536
2006M08,777,1806,0,1554,25242,0,0,441,0,441,4557,546,147,3171,2184,8694,20895,3906,0,42,1176,5859,1911,2205,1050,1533,903,4095,1785,0,9429,357,46746,1806,1407,252,0,155232
2006M09,1323,2079,0,1659,27321,0,0,609,0,441,5418,672,231,2436,1806,8757,25956,3171,0,105,1281,4347,2352,2541,1113,1785,1029,4935,2016,0,10038,399,49497,1302,1323,231,0,166383
2006M10,1254,1584,0,2002,24200,0,0,528,0,484,7876,704,110,3168,2354,15334,25300,4158,0,110,880,5522,1738,2596,1540,1914,1166,6226,2904,0,10670,352,57310,1188,1232,132,0,186010
2006M11,1100,1628,0,2156,28380,0,0,770,0,682,16038,616,154,3608,4334,15686,30030,4840,0,132,1254,6754,2178,2420,1804,2244,1188,7128,3850,814,14828,352,63602,1474,1562,176,0,228866
2006M12,2080,4134,0,3796,44148,0,0,1066,0,1404,21892,1248,260,3926,4966,21632,40534,6994,0,104,2002,8164,4992,4836,3172,3120,1612,10504,6058,2366,20618,624,84838,2366,1352,494,0,317616
2007M01,1512,1680,0,2156,29652,0,0,840,0,756,14392,1036,140,5292,3332,18228,29120,6188,0,112,1876,6832,2968,2604,1848,2464,1596,7980,4592,1736,16268,196,72856,1232,1540,252,0,245868
2007M02,1817,2185,0,3174,35489,0,0,874,0,759,16514,920,92,4094,3197,21666,34661,6256,0,115,1265,6486,3036,3243,1909,2806,1035,7199,5520,1932,17365,207,73669,1242,1725,253,0,266087
2007M03,1748,1886,0,3565,30153,0,0,552,0,851,13340,1081,138,3795,4094,17181,33235,4715,0,115,1173,5681,3105,3128,2714,2806,1311,6854,3933,897,15111,276,68632,1311,1633,253,0,238326
2007M04,1449,1909,0,2806,27209,0,0,851,0,644,9016,552,138,2898,2829,11293,26956,3864,0,69,1035,3910,2484,2944,1679,1955,1219,4715,2553,1242,10718,276,59363,1610,1219,368,0,192671
2007M05,828,1530,0,1908,21492,0,0,414,0,378,6300,396,126,2538,2718,8406,20178,3042,0,18,1242,3474,1944,1962,1386,1782,1008,3258,1494,756,7632,198,40626,1242,1098,270,0,140130
2007M06,855,1767,0,1729,23294,0,0,608,0,589,6194,399,133,4066,2223,9424,20083,3458,0,133,437,3211,2508,2052,1767,1273,1254,3686,1919,722,5909,38,42028,1083,1026,247,0,144799
2007M07,1056,1704,0,2592,25320,0,0,672,0,720,8424,624,72,3744,2184,9840,22968,4872,0,48,936,4608,1704,3288,1944,1704,1152,5808,1992,1584,7488,0,52392,1320,1296,192,0,172608
2007M08,594,1738,0,2156,26686,0,0,572,0,550,7480,528,66,3608,1958,7568,26136,3652,0,66,1144,4224,2310,2156,1254,1848,638,4180,1584,1188,7260,0,49852,1408,1320,220,0,164296
2007M09,828,2047,0,2001,27232,0,0,736,0,506,6923,529,253,3128,1771,8464,27002,3335,0,69,1035,3979,2070,2438,1518,1610,1127,4577,1748,1426,7222,0,51083,1679,989,207,0,167831
2007M10,943,1794,0,2507,23966,0,0,713,0,552,8510,667,253,3312,2898,12098,25829,4370,0,92,1081,4370,1817,2231,1955,1955,897,5313,2553,1656,8533,0,53705,1725,1265,368,0,179308
2007M11,1128,2472,0,2016,28608,0,0,936,0,912,12048,528,144,3600,3648,14928,31968,4632,0,48,888,6288,2208,2592,1944,2400,1224,6072,3792,2112,15048,0,63720,1800,1464,360,1536,227784
2007M12,1890,3780,0,3645,45144,0,0,1188,0,1404,22842,972,324,3807,4185,20331,41742,7398,0,135,1701,6885,5184,4428,3105,2592,1674,6696,4995,3834,21627,0,84051,2511,1188,432,2349,315576
2008M01,1102,1334,0,2755,30015,0,0,725,0,899,16617,841,116,4582,2871,18299,29754,6264,0,145,2378,6119,3364,3190,2320,2668,1682,5713,4205,2320,13601,0,73486,1189,1972,319,2001,252242
2008M02,1817,2323,0,3519,36363,0,0,1104,0,782,18975,943,115,4278,2944,22287,35443,6578,0,92,1058,6348,3312,3381,2806,2507,1518,5129,5635,2691,16813,0,77326,1495,1518,621,2507,279013
2008M03,1825,2125,0,3150,33600,0,0,1000,0,925,15500,525,300,3350,2650,17400,34425,5475,0,200,950,6475,3300,3125,2475,2125,1750,5400,4150,2300,15950,0,69800,1500,900,525,1550,250300
2008M04,1296,1872,0,2232,27672,0,0,912,0,744,9216,696,192,2496,2352,9144,24888,4104,0,96,1032,3816,2208,3024,1224,1824,1440,3960,2064,1464,10632,0,53760,1512,1416,672,552,179064
2008M05,800,2020,0,1320,21360,0,0,720,0,600,6940,300,200,2700,2080,7560,19760,3540,0,160,900,2880,1540,1880,1880,1460,1160,3060,1600,820,6860,0,42380,1480,1060,480,500,140160
2008M06,741,1748,0,1254,23294,304,0,342,0,665,7201,399,133,3211,1577,8189,19836,4066,0,57,608,3572,1501,1843,1710,1178,988,2679,1653,950,6783,0,41192,1083,494,228,323,142063
2008M07,792,1656,360,2064,25152,504,0,696,0,1176,9792,624,72,4632,1896,10464,22944,4632,0,72,960,3576,1944,2976,2184,1560,1080,5280,1800,1344,8712,0,52296,1008,1104,168,552,174984
2008M08,704,1870,528,1452,27016,594,0,396,0,550,7722,528,330,5588,1628,7458,23386,4246,0,44,1012,1892,1936,2508,1122,1430,1078,4158,1430,704,7128,0,49456,1672,704,308,484,161612
2008M09,1196,1633,322,851,26519,575,0,575,0,552,7889,345,184,4324,1196,7038,24794,3312,0,23,1288,1380,2369,2645,1449,1794,943,3197,1817,1127,7268,0,47311,1702,0,207,437,156446
2008M10,1056,1848,144,1728,23808,408,0,648,0,888,11424,480,72,5112,1776,10680,24768,4800,0,144,888,1608,1632,2592,2232,1800,1032,3912,2424,1416,8712,0,50568,1608,0,432,888,173136
2008M11,1012,2926,484,1716,28138,704,0,880,0,792,16786,418,264,2640,2882,13002,29788,5500,0,110,1342,4818,2354,2816,2266,1804,1452,5478,2882,1584,14212,0,59202,1892,0,792,1804,218130
2008M12,1755,4050,972,2187,46656,1026,0,1242,0,1323,24111,756,297,2403,3510,17280,43416,9018,0,108,1971,6723,5049,4374,3186,2295,1917,8397,5481,2808,19683,0,85914,2349,0,486,2592,320085
2009M01,1176,2016,1176,2156,30688,308,0,840,0,1176,19320,476,196,2968,2520,14028,32648,6664,0,28,2212,5544,2688,2772,2156,1988,1540,7000,4200,2016,12488,0,68880,1148,0,336,2128,242900
2009M02,1150,2323,575,2254,34454,460,0,851,0,1058,15916,851,184,2760,2208,19136,35374,5497,0,115,1173,5359,3220,3657,2208,2254,1035,6233,4600,1058,13087,0,73692,2001,0,828,2484,255300
2009M03,1560,2112,384,2520,32040,648,0,768,0,1032,14088,720,240,2208,2280,13200,35088,4416,0,144,1320,4968,3000,2856,2688,2136,792,5640,3000,1056,11592,0,65352,1824,0,696,1872,225672
2009M04,1210,1584,264,2266,29788,924,0,704,0,946,11396,374,88,1100,2288,9482,33462,3872,0,66,1386,4070,3102,2794,1474,1584,682,3102,2178,1122,7766,0,61512,1474,0,396,748,195140
2009M05,864,1764,252,1800,20556,414,0,486,0,594,6858,468,234,792,2484,7074,22464,3438,0,90,1368,2232,3546,1998,1710,1890,882,2052,1440,486,6030,0,44244,1440,0,324,612,140958
