STATISTIC,Statistic Label,TLIST(A1),Year,C02199V02655,Sex,C04004V04762,Citizenship,UNIT,VALUE
NA,Estimated Population,NA,2008,NA,Male,NA,Ireland,Thousand,1942.3
NA,Estimated Population,NA,2008,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,79.8
NA,Estimated Population,NA,2008,NA,Female,NA,All Countries,Thousand,2246.5
NA,Estimated Population,NA,2008,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,27.1
NA,Estimated Population,NA,2008,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,113.8
NA,Estimated Population,NA,2008,NA,Female,NA,United Kingdom,Thousand,59
NA,Estimated Population,NA,2008,NA,Female,NA,Ireland,Thousand,1967.2
NA,Estimated Population,NA,2008,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,79.5
NA,Estimated Population,NA,2009,NA,Both sexes,NA,All Countries,Thousand,4533.4
NA,Estimated Population,NA,2009,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,55.3
NA,Estimated Population,NA,2009,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,240.8
NA,Estimated Population,NA,2009,NA,Both sexes,NA,United Kingdom,Thousand,117.1
NA,Estimated Population,NA,2009,NA,Both sexes,NA,Ireland,Thousand,3958
NA,Estimated Population,NA,2009,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,162.2
NA,Estimated Population,NA,2009,NA,Male,NA,All Countries,Thousand,2257.3
NA,Estimated Population,NA,2009,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,25.5
NA,Estimated Population,NA,2009,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,124.8
NA,Estimated Population,NA,2009,NA,Male,NA,United Kingdom,Thousand,58.3
NA,Estimated Population,NA,2009,NA,Male,NA,Ireland,Thousand,1966.4
NA,Estimated Population,NA,2009,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,82.3
NA,Estimated Population,NA,2009,NA,Female,NA,All Countries,Thousand,2276.1
NA,Estimated Population,NA,2009,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,29.7
NA,Estimated Population,NA,2009,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,116
NA,Estimated Population,NA,2009,NA,Female,NA,United Kingdom,Thousand,58.8
NA,Estimated Population,NA,2009,NA,Female,NA,Ireland,Thousand,1991.6
NA,Estimated Population,NA,2009,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,79.9
NA,Estimated Population,NA,2010,NA,Both sexes,NA,All Countries,Thousand,4554.8
NA,Estimated Population,NA,2010,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,52.4
NA,Estimated Population,NA,2010,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,233
NA,Estimated Population,NA,2010,NA,Both sexes,NA,United Kingdom,Thousand,115.9
NA,Estimated Population,NA,2010,NA,Both sexes,NA,Ireland,Thousand,3994.7
NA,Estimated Population,NA,2010,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,158.7
NA,Estimated Population,NA,2010,NA,Male,NA,All Countries,Thousand,2262.2
NA,Estimated Population,NA,2010,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,24
NA,Estimated Population,NA,2010,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,117.6
NA,Estimated Population,NA,2010,NA,Male,NA,United Kingdom,Thousand,57.7
NA,Estimated Population,NA,2010,NA,Male,NA,Ireland,Thousand,1983.3
NA,Estimated Population,NA,2010,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,79.6
NA,Estimated Population,NA,2010,NA,Female,NA,All Countries,Thousand,2292.6
NA,Estimated Population,NA,2010,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,28.4
NA,Estimated Population,NA,2010,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,115.5
NA,Estimated Population,NA,2010,NA,Female,NA,United Kingdom,Thousand,58.2
NA,Estimated Population,NA,2010,NA,Female,NA,Ireland,Thousand,2011.4
NA,Estimated Population,NA,2010,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,79.1
NA,Estimated Population,NA,2011,NA,Both sexes,NA,All Countries,Thousand,4574.9
NA,Estimated Population,NA,2011,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,49.4
NA,Estimated Population,NA,2011,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,231.5
NA,Estimated Population,NA,2011,NA,Both sexes,NA,United Kingdom,Thousand,114.9
NA,Estimated Population,NA,2011,NA,Both sexes,NA,Ireland,Thousand,4017.9
NA,Estimated Population,NA,2011,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,161.2
NA,Estimated Population,NA,2011,NA,Male,NA,All Countries,Thousand,2270.5
NA,Estimated Population,NA,2011,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,23.9
NA,Estimated Population,NA,2011,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,116.5
NA,Estimated Population,NA,2011,NA,Male,NA,United Kingdom,Thousand,57.8
NA,Estimated Population,NA,2011,NA,Male,NA,Ireland,Thousand,1991.9
NA,Estimated Population,NA,2011,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,80.4
NA,Estimated Population,NA,2011,NA,Female,NA,All Countries,Thousand,2304.4
NA,Estimated Population,NA,2011,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,25.5
NA,Estimated Population,NA,2011,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,114.9
NA,Estimated Population,NA,2011,NA,Female,NA,United Kingdom,Thousand,57.1
NA,Estimated Population,NA,2011,NA,Female,NA,Ireland,Thousand,2026
NA,Estimated Population,NA,2011,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,80.8
NA,Estimated Population,NA,2012,NA,Both sexes,NA,All Countries,Thousand,4593.7
NA,Estimated Population,NA,2012,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,51
NA,Estimated Population,NA,2012,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,232.7
NA,Estimated Population,NA,2012,NA,Both sexes,NA,United Kingdom,Thousand,111.8
NA,Estimated Population,NA,2012,NA,Both sexes,NA,Ireland,Thousand,4046.6
NA,Estimated Population,NA,2012,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,151.6
NA,Estimated Population,NA,2012,NA,Male,NA,All Countries,Thousand,2275
NA,Estimated Population,NA,2012,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,24.3
NA,Estimated Population,NA,2012,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,116.8
NA,Estimated Population,NA,2012,NA,Male,NA,United Kingdom,Thousand,56.1
NA,Estimated Population,NA,2012,NA,Male,NA,Ireland,Thousand,2003.2
NA,Estimated Population,NA,2012,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,74.7
NA,Estimated Population,NA,2012,NA,Female,NA,All Countries,Thousand,2318.7
NA,Estimated Population,NA,2012,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,26.7
NA,Estimated Population,NA,2012,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,115.9
NA,Estimated Population,NA,2012,NA,Female,NA,United Kingdom,Thousand,55.7
NA,Estimated Population,NA,2012,NA,Female,NA,Ireland,Thousand,2043.4
NA,Estimated Population,NA,2012,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,76.9
NA,Estimated Population,NA,2013,NA,Both sexes,NA,All Countries,Thousand,4614.7
NA,Estimated Population,NA,2013,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,53.2
NA,Estimated Population,NA,2013,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,234.5
NA,Estimated Population,NA,2013,NA,Both sexes,NA,United Kingdom,Thousand,109.2
NA,Estimated Population,NA,2013,NA,Both sexes,NA,Ireland,Thousand,4080.7
NA,Estimated Population,NA,2013,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,137.1
NA,Estimated Population,NA,2013,NA,Male,NA,All Countries,Thousand,2286.1
NA,Estimated Population,NA,2013,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,25.8
NA,Estimated Population,NA,2013,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,117.5
NA,Estimated Population,NA,2013,NA,Male,NA,United Kingdom,Thousand,55
NA,Estimated Population,NA,2013,NA,Male,NA,Ireland,Thousand,2019.4
NA,Estimated Population,NA,2013,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,68.4
NA,Estimated Population,NA,2013,NA,Female,NA,All Countries,Thousand,2328.5
NA,Estimated Population,NA,2013,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,27.4
NA,Estimated Population,NA,2013,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,117
NA,Estimated Population,NA,2013,NA,Female,NA,United Kingdom,Thousand,54.1
NA,Estimated Population,NA,2013,NA,Female,NA,Ireland,Thousand,2061.3
NA,Estimated Population,NA,2013,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,68.7
NA,Estimated Population,NA,2014,NA,Both sexes,NA,All Countries,Thousand,4645.4
NA,Estimated Population,NA,2014,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,56.9
NA,Estimated Population,NA,2014,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,242.8
NA,Estimated Population,NA,2014,NA,Both sexes,NA,United Kingdom,Thousand,107.1
NA,Estimated Population,NA,2014,NA,Both sexes,NA,Ireland,Thousand,4117.6
NA,Estimated Population,NA,2014,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,121
NA,Estimated Population,NA,2014,NA,Male,NA,All Countries,Thousand,2299
NA,Estimated Population,NA,2014,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,27.6
NA,Estimated Population,NA,2014,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,121.5
NA,Estimated Population,NA,2014,NA,Male,NA,United Kingdom,Thousand,54.1
NA,Estimated Population,NA,2014,NA,Male,NA,Ireland,Thousand,2036
NA,Estimated Population,NA,2014,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,59.8
NA,Estimated Population,NA,2014,NA,Female,NA,All Countries,Thousand,2346.4
NA,Estimated Population,NA,2014,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,29.3
NA,Estimated Population,NA,2014,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,121.3
NA,Estimated Population,NA,2014,NA,Female,NA,United Kingdom,Thousand,53
NA,Estimated Population,NA,2014,NA,Female,NA,Ireland,Thousand,2081.6
NA,Estimated Population,NA,2014,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,61.2
NA,Estimated Population,NA,2015,NA,Both sexes,NA,All Countries,Thousand,4687.8
NA,Estimated Population,NA,2015,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,60.3
NA,Estimated Population,NA,2015,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,247.8
NA,Estimated Population,NA,2015,NA,Both sexes,NA,United Kingdom,Thousand,105.7
NA,Estimated Population,NA,2015,NA,Both sexes,NA,Ireland,Thousand,4152.9
NA,Estimated Population,NA,2015,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,121.1
NA,Estimated Population,NA,2015,NA,Male,NA,All Countries,Thousand,2317.7
NA,Estimated Population,NA,2015,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,28.4
NA,Estimated Population,NA,2015,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,123.5
NA,Estimated Population,NA,2015,NA,Male,NA,United Kingdom,Thousand,53.6
NA,Estimated Population,NA,2015,NA,Male,NA,Ireland,Thousand,2052.1
NA,Estimated Population,NA,2015,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,60.1
NA,Estimated Population,NA,2015,NA,Female,NA,All Countries,Thousand,2370.1
NA,Estimated Population,NA,2015,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,31.9
NA,Estimated Population,NA,2015,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,124.2
NA,Estimated Population,NA,2015,NA,Female,NA,United Kingdom,Thousand,52.2
NA,Estimated Population,NA,2015,NA,Female,NA,Ireland,Thousand,2100.8
NA,Estimated Population,NA,2015,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,61
NA,Estimated Population,NA,2016,NA,Both sexes,NA,All Countries,Thousand,4739.6
NA,Estimated Population,NA,2016,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,64.9
NA,Estimated Population,NA,2016,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,249.4
NA,Estimated Population,NA,2016,NA,Both sexes,NA,United Kingdom,Thousand,105.7
NA,Estimated Population,NA,2016,NA,Both sexes,NA,Ireland,Thousand,4189.1
NA,Estimated Population,NA,2016,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,130.4
NA,Estimated Population,NA,2016,NA,Male,NA,All Countries,Thousand,2346.5
NA,Estimated Population,NA,2016,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,31.3
NA,Estimated Population,NA,2016,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,123.5
NA,Estimated Population,NA,2016,NA,Male,NA,United Kingdom,Thousand,54.2
NA,Estimated Population,NA,2016,NA,Male,NA,Ireland,Thousand,2071.4
NA,Estimated Population,NA,2016,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,66.1
NA,Estimated Population,NA,2016,NA,Female,NA,All Countries,Thousand,2393.1
NA,Estimated Population,NA,2016,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,33.5
NA,Estimated Population,NA,2016,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,125.9
NA,Estimated Population,NA,2016,NA,Female,NA,United Kingdom,Thousand,51.6
NA,Estimated Population,NA,2016,NA,Female,NA,Ireland,Thousand,2117.7
NA,Estimated Population,NA,2016,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,64.4
NA,Estimated Population,NA,2017,NA,Both sexes,NA,All Countries,Thousand,4810.9
NA,Estimated Population,NA,2017,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,69.5
NA,Estimated Population,NA,2017,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,246.9
NA,Estimated Population,NA,2017,NA,Both sexes,NA,United Kingdom,Thousand,103.3
NA,Estimated Population,NA,2017,NA,Both sexes,NA,Ireland,Thousand,4245.3
NA,Estimated Population,NA,2017,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,145.9
NA,Estimated Population,NA,2017,NA,Male,NA,All Countries,Thousand,2380.8
NA,Estimated Population,NA,2017,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,33.2
NA,Estimated Population,NA,2017,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,122.1
NA,Estimated Population,NA,2017,NA,Male,NA,United Kingdom,Thousand,53.1
NA,Estimated Population,NA,2017,NA,Male,NA,Ireland,Thousand,2099.2
NA,Estimated Population,NA,2017,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,73.2
NA,Estimated Population,NA,2017,NA,Female,NA,All Countries,Thousand,2430.1
NA,Estimated Population,NA,2017,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,36.4
NA,Estimated Population,NA,2017,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,124.7
NA,Estimated Population,NA,2017,NA,Female,NA,United Kingdom,Thousand,50.3
NA,Estimated Population,NA,2017,NA,Female,NA,Ireland,Thousand,2146
NA,Estimated Population,NA,2017,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,72.7
NA,Estimated Population,NA,2018,NA,Both sexes,NA,All Countries,Thousand,4884.9
NA,Estimated Population,NA,2018,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,74.3
NA,Estimated Population,NA,2018,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,247.9
NA,Estimated Population,NA,2018,NA,Both sexes,NA,United Kingdom,Thousand,103
NA,Estimated Population,NA,2018,NA,Both sexes,NA,Ireland,Thousand,4292.3
NA,Estimated Population,NA,2018,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,167.5
NA,Estimated Population,NA,2018,NA,Male,NA,All Countries,Thousand,2419.5
NA,Estimated Population,NA,2018,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,35.5
NA,Estimated Population,NA,2018,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,122.5
NA,Estimated Population,NA,2018,NA,Male,NA,United Kingdom,Thousand,53.3
NA,Estimated Population,NA,2018,NA,Male,NA,Ireland,Thousand,2123.5
NA,Estimated Population,NA,2018,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,84.8
NA,Estimated Population,NA,2018,NA,Female,NA,All Countries,Thousand,2465.4
NA,Estimated Population,NA,2018,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,38.8
NA,Estimated Population,NA,2018,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,125.4
NA,Estimated Population,NA,2018,NA,Female,NA,United Kingdom,Thousand,49.7
NA,Estimated Population,NA,2018,NA,Female,NA,Ireland,Thousand,2168.8
NA,Estimated Population,NA,2018,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,82.7
NA,Estimated Population,NA,2019,NA,Both sexes,NA,All Countries,Thousand,4958.5
NA,Estimated Population,NA,2019,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,82.3
NA,Estimated Population,NA,2019,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,245.2
NA,Estimated Population,NA,2019,NA,Both sexes,NA,United Kingdom,Thousand,102.7
NA,Estimated Population,NA,2019,NA,Both sexes,NA,Ireland,Thousand,4336.5
NA,Estimated Population,NA,2019,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,191.7
NA,Estimated Population,NA,2019,NA,Male,NA,All Countries,Thousand,2456.3
NA,Estimated Population,NA,2019,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,39.4
NA,Estimated Population,NA,2019,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,121
NA,Estimated Population,NA,2019,NA,Male,NA,United Kingdom,Thousand,53.5
NA,Estimated Population,NA,2019,NA,Male,NA,Ireland,Thousand,2145.2
NA,Estimated Population,NA,2019,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,97.3
NA,Estimated Population,NA,2019,NA,Female,NA,All Countries,Thousand,2502.2
NA,Estimated Population,NA,2019,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,42.9
NA,Estimated Population,NA,2019,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,124.2
NA,Estimated Population,NA,2019,NA,Female,NA,United Kingdom,Thousand,49.2
NA,Estimated Population,NA,2019,NA,Female,NA,Ireland,Thousand,2191.3
NA,Estimated Population,NA,2019,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,94.5
NA,Estimated Population,NA,2020,NA,Both sexes,NA,All Countries,Thousand,5029.9
NA,Estimated Population,NA,2020,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,86.5
NA,Estimated Population,NA,2020,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,244.9
NA,Estimated Population,NA,2020,NA,Both sexes,NA,United Kingdom,Thousand,100
NA,Estimated Population,NA,2020,NA,Both sexes,NA,Ireland,Thousand,4384.8
NA,Estimated Population,NA,2020,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,213.6
NA,Estimated Population,NA,2020,NA,Male,NA,All Countries,Thousand,2491.8
NA,Estimated Population,NA,2020,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,41.5
NA,Estimated Population,NA,2020,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,121.8
NA,Estimated Population,NA,2020,NA,Male,NA,United Kingdom,Thousand,51.8
NA,Estimated Population,NA,2020,NA,Male,NA,Ireland,Thousand,2169.2
NA,Estimated Population,NA,2020,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,107.4
NA,Estimated Population,NA,2020,NA,Female,NA,All Countries,Thousand,2538.1
NA,Estimated Population,NA,2020,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,45
NA,Estimated Population,NA,2020,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,123.1
NA,Estimated Population,NA,2020,NA,Female,NA,United Kingdom,Thousand,48.2
NA,Estimated Population,NA,2020,NA,Female,NA,Ireland,Thousand,2215.6
NA,Estimated Population,NA,2020,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,106.2
NA,Estimated Population,NA,2021,NA,Both sexes,NA,All Countries,Thousand,5074.7
